Epoch	AvgRewardsLast100Ep	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
34	0.9219285249710083	2.03	1.451413	4.23	0.45	1000.0	0.13033801	0.11514014	0.6212717	-0.26789308	140000	3.7252903e-09	0.09066403	-0.014483798	-0.071271926	0.7506592	0.016272258	0.116000004	7.0	112.34657001495361
35	0.9427777528762817	1.6724999	0.40922952	2.22	1.0799999	1000.0	0.23217626	0.2094363	0.916435	-0.29463336	144000	-8.8475645e-09	0.059023198	-0.06348939	-0.0518779	0.7501026	0.014880149	0.28724998	79.0	115.77502703666687
36	0.9733107686042786	2.0724998	0.9087732	3.12	1.04	1000.0	0.17102613	0.118153185	0.6421695	-0.18711922	148000	7.450581e-09	0.047732085	-0.040170975	-0.03988418	0.74144375	0.015196145	0.20375	29.0	119.26590585708618
37	0.977960467338562	1.15	0.5406015	1.79	0.31	1000.0	0.24703906	0.14523923	0.7732305	-0.19355707	152000	0.0	0.058135897	-0.04719208	-0.050703082	0.74224526	0.015160605	0.23125	31.0	122.79419803619385
38	0.9985896944999695	1.7825	0.30474374	2.06	1.29	1000.0	0.121928774	0.09308909	0.561436	-0.23664309	156000	-1.3853423e-08	0.0354412	-0.043701284	-0.0255924	0.73657954	0.015599856	0.22075	29.0	126.26235485076904
39	1.0107499361038208	1.4849999	0.9907194	2.56	0.25	1000.0	0.16062436	0.15069203	0.7338448	-0.234188	160000	-3.7252903e-09	0.03350722	-0.038559526	-0.023340093	0.73401654	0.015156168	0.18975	25.0	129.87872791290283
40	1.0337804555892944	1.9549999	0.40746164	2.56	1.53	1000.0	0.14492413	0.123731144	0.7437835	-0.18820192	164000	-9.313226e-09	0.029352624	-0.052110914	-0.022951003	0.7302965	0.015244575	0.2525	44.0	133.4418261051178
41	1.0585713386535645	2.075	0.6893656	2.86	1.02	1000.0	0.16218518	0.08642467	0.55852693	-0.17620729	168000	-2.6077032e-08	0.03733509	-0.034839958	-0.03013268	0.7272667	0.015347634	0.167	24.0	137.0222568511963
42	1.0760464668273926	1.81	0.33948487	2.1399999	1.28	1000.0	0.24191746	0.15437487	0.7873626	-0.2034065	172000	1.8626451e-09	0.04722434	-0.055007044	-0.03878401	0.72014546	0.015249853	0.28250003	50.0	140.62375807762146
43	1.0868749618530273	1.5525	0.47404507	2.37	1.2099999	1000.0	0.1909569	0.10223361	0.56912446	-0.09401714	176000	-3.7252903e-09	0.027603263	-0.027696254	-0.021067515	0.70933104	0.015134047	0.1375	14.0	143.76506400108337
